,Age,MonthlyCharges,Contract Type,Tenure,Churn
897,34,433,prepaid,23,1
898,33,468,prepaid,26,0
899,46,1757,postpaid,12,0
900,36,223,postpaid,22,0
901,38,1700,prepaid,16,1
902,27,878,postpaid,21,1
903,56,621,postpaid,17,1
904,20,507,postpaid,36,0
905,44,1092,postpaid,10,0
906,66,591,postpaid,22,1
907,34,1497,prepaid,36,1
908,65,862,postpaid,29,0
909,53,1353,postpaid,35,0
910,44,1585,postpaid,32,0
911,66,1411,postpaid,34,0
912,21,1069,postpaid,48,1
913,59,1364,postpaid,48,1
914,34,1576,prepaid,26,0
915,33,1295,prepaid,22,0
916,35,1153,postpaid,7,0
917,18,982,prepaid,32,1
918,35,1455,postpaid,13,1
919,20,1840,postpaid,34,0
920,26,1690,postpaid,17,0
921,43,1822,prepaid,9,1
922,45,1017,postpaid,20,0
923,42,1412,postpaid,32,1
924,47,1253,postpaid,2,1
925,67,1869,prepaid,16,1
926,51,1124,prepaid,48,1
927,23,1919,postpaid,25,0
928,69,516,prepaid,47,0
929,37,1236,prepaid,6,0
930,29,1858,prepaid,28,1
931,30,1273,prepaid,32,0
932,57,206,prepaid,14,0
933,35,847,prepaid,47,0
934,21,1845,prepaid,34,1
935,21,1786,postpaid,33,0
936,55,1131,prepaid,23,0
937,20,1824,postpaid,16,1
938,53,732,postpaid,9,0
939,63,440,prepaid,16,0
940,65,567,postpaid,28,1
941,52,267,prepaid,38,0
942,25,493,prepaid,25,0
943,45,769,postpaid,11,1
944,18,891,prepaid,17,1
945,56,932,prepaid,36,1
946,30,988,postpaid,26,0
947,39,730,postpaid,1,0
948,20,871,prepaid,33,0
949,39,200,postpaid,18,0
950,67,815,postpaid,12,1
951,39,899,postpaid,31,0
952,18,315,postpaid,21,1
953,42,1324,prepaid,36,0
954,59,968,postpaid,17,0
955,66,673,prepaid,18,0
956,46,235,postpaid,40,1
957,62,336,prepaid,39,0
958,41,1039,postpaid,3,0
959,34,1878,prepaid,5,0
960,59,1573,postpaid,38,1
961,26,303,postpaid,10,0
962,30,1086,postpaid,29,0
963,49,713,postpaid,22,1
964,60,1261,postpaid,3,1
965,66,220,postpaid,3,1
966,68,1140,prepaid,29,0
967,58,1355,postpaid,46,0
968,36,1552,postpaid,47,0
969,50,881,postpaid,2,1
970,32,354,postpaid,37,1
971,62,1353,postpaid,43,0
972,67,360,postpaid,28,1
973,43,1338,prepaid,33,1
974,31,1279,prepaid,48,0
975,54,1809,postpaid,32,1
976,63,1548,postpaid,45,1
977,36,506,postpaid,19,0
978,61,1218,prepaid,1,1
979,41,314,postpaid,18,0
980,26,1083,prepaid,34,1
981,60,456,prepaid,12,1
982,57,1329,postpaid,28,0
983,62,1151,postpaid,46,0
984,34,1484,prepaid,24,1
985,55,429,postpaid,17,0
986,63,785,prepaid,22,1
987,32,1429,prepaid,13,0
988,51,1853,postpaid,36,1
989,64,1886,prepaid,42,1
990,38,398,prepaid,22,0
991,52,618,prepaid,18,0
992,33,1303,prepaid,33,0
993,62,649,prepaid,19,0
994,36,1550,prepaid,48,1
995,43,1153,prepaid,48,0
996,62,1044,prepaid,3,0
997,41,828,postpaid,24,1
998,41,965,prepaid,10,1
999,28,577,prepaid,14,0
